File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
188,2022/06/11 23:15:36,71.19,36.8,43.44,
189,2022/06/11 23:25:36,71.12,36.8,43.38,
190,2022/06/11 23:35:36,71.09,36.8,43.36,
191,2022/06/11 23:45:36,71.17,36.8,43.43,
192,2022/06/11 23:55:36,71.09,36.8,43.36,
193,2022/06/12 00:05:36,71.09,36.8,43.36,
194,2022/06/12 00:15:36,71.12,36.8,43.38,
195,2022/06/12 00:25:36,71.02,36.8,43.30,
196,2022/06/12 00:35:36,70.97,36.8,43.25,
197,2022/06/12 00:45:36,70.99,36.8,43.27,
198,2022/06/12 00:55:36,70.99,36.8,43.27,
199,2022/06/12 01:05:36,70.89,36.9,43.26,
200,2022/06/12 01:15:36,70.91,36.9,43.28,
201,2022/06/12 01:25:36,70.87,36.9,43.23,
202,2022/06/12 01:35:36,70.78,36.9,43.15,
203,2022/06/12 01:45:36,70.73,36.8,43.04,
204,2022/06/12 01:55:36,70.68,36.9,43.07,
205,2022/06/12 02:05:36,70.71,36.8,43.03,
206,2022/06/12 02:15:36,70.68,36.8,43.00,
207,2022/06/12 02:25:36,70.71,36.9,43.10,
208,2022/06/12 02:35:36,70.73,36.8,43.04,
209,2022/06/12 02:45:36,70.71,36.8,43.03,
210,2022/06/12 02:55:36,70.68,36.8,43.00,
211,2022/06/12 03:05:36,70.68,36.8,43.00,
212,2022/06/12 03:15:36,70.66,36.9,43.05,
213,2022/06/12 03:25:36,70.68,36.9,43.07,
214,2022/06/12 03:35:36,70.66,36.9,43.05,
215,2022/06/12 03:45:36,70.73,36.9,43.11,
216,2022/06/12 03:55:36,70.66,36.8,42.98,
217,2022/06/12 04:05:36,70.68,36.8,43.00,
218,2022/06/12 04:15:36,70.66,36.9,43.05,
219,2022/06/12 04:25:36,70.61,36.9,43.00,
220,2022/06/12 04:35:36,70.58,36.8,42.90,
221,2022/06/12 04:45:36,70.58,36.9,42.97,
222,2022/06/12 04:55:36,70.58,36.8,42.90,
223,2022/06/12 05:05:36,70.51,36.9,42.91,
224,2022/06/12 05:15:36,70.53,36.9,42.94,
225,2022/06/12 05:25:36,70.51,36.8,42.84,
226,2022/06/12 05:35:36,70.51,36.8,42.84,
227,2022/06/12 05:45:36,70.48,36.8,42.82,
228,2022/06/12 05:55:36,70.51,36.9,42.91,
229,2022/06/12 06:05:36,70.48,36.9,42.89,
230,2022/06/12 06:15:36,70.35,36.8,42.71,
231,2022/06/12 06:25:36,70.43,36.8,42.77,
232,2022/06/12 06:35:36,70.38,36.8,42.72,
233,2022/06/12 06:45:36,70.35,36.8,42.71,
234,2022/06/12 06:55:36,70.33,36.8,42.68,
235,2022/06/12 07:05:36,70.33,36.9,42.75,
236,2022/06/12 07:15:36,70.28,36.8,42.65,
237,2022/06/12 07:25:36,70.28,36.8,42.65,
238,2022/06/12 07:35:36,70.25,36.8,42.61,
239,2022/06/12 07:45:36,70.25,36.8,42.61,
240,2022/06/12 07:55:36,70.25,36.9,42.68,
241,2022/06/12 08:05:36,70.15,36.8,42.52,
242,2022/06/12 08:15:36,70.18,36.8,42.55,
243,2022/06/12 08:25:36,70.20,36.8,42.56,
244,2022/06/12 08:35:36,70.15,36.9,42.59,
245,2022/06/12 08:45:36,70.15,36.8,42.52,
246,2022/06/12 08:55:36,70.13,36.8,42.50,
247,2022/06/12 09:05:36,70.13,36.9,42.57,
248,2022/06/12 09:15:36,70.10,36.9,42.56,
249,2022/06/12 09:25:36,70.10,36.9,42.56,
250,2022/06/12 09:35:36,70.05,36.9,42.51,
251,2022/06/12 09:45:36,70.05,36.9,42.51,
252,2022/06/12 09:55:36,69.97,37.0,42.50,
253,2022/06/12 10:05:36,70.03,37.0,42.56,
254,2022/06/12 10:15:36,70.00,37.0,42.53,
255,2022/06/12 10:25:36,69.95,37.0,42.48,
256,2022/06/12 10:35:36,69.95,37.0,42.48,
257,2022/06/12 10:45:36,69.92,36.9,42.40,
258,2022/06/12 10:55:36,69.90,37.0,42.45,
259,2022/06/12 11:05:36,69.90,37.0,42.45,
260,2022/06/12 11:15:36,69.92,36.9,42.40,
261,2022/06/12 11:25:36,69.87,36.9,42.35,
262,2022/06/12 11:35:36,69.87,36.9,42.35,
263,2022/06/12 11:45:36,69.84,37.0,42.39,
264,2022/06/12 11:55:36,69.82,36.9,42.30,
265,2022/06/12 12:05:36,69.84,36.9,42.32,
266,2022/06/12 12:15:36,69.79,37.0,42.34,
267,2022/06/12 12:25:36,69.79,37.0,42.34,
268,2022/06/12 12:35:36,69.77,37.0,42.32,
269,2022/06/12 12:45:36,69.77,37.0,42.32,
270,2022/06/12 12:55:36,69.82,37.0,42.37,
271,2022/06/12 13:05:36,69.77,37.0,42.32,
272,2022/06/12 13:15:36,69.77,36.9,42.25,
273,2022/06/12 13:25:36,69.72,37.0,42.29,
274,2022/06/12 13:35:36,69.77,37.0,42.32,
275,2022/06/12 13:45:36,69.77,37.0,42.32,
276,2022/06/12 13:55:36,69.82,37.0,42.37,
277,2022/06/12 14:05:36,69.87,37.0,42.42,
278,2022/06/12 14:15:36,69.97,37.0,42.50,
279,2022/06/12 14:25:36,70.23,36.9,42.67,
280,2022/06/12 14:35:36,70.43,36.8,42.77,
281,2022/06/12 14:45:36,70.63,36.7,42.88,
282,2022/06/12 14:55:36,70.89,36.6,43.04,
283,2022/06/12 15:05:36,71.09,36.5,43.15,
284,2022/06/12 15:15:36,71.35,36.4,43.30,
285,2022/06/12 15:25:36,71.52,36.3,43.39,
286,2022/06/12 15:35:36,71.67,36.2,43.44,
287,2022/06/12 15:45:36,71.78,36.2,43.54,
288,2022/06/12 15:55:36,71.88,36.1,43.56,
289,2022/06/12 16:05:36,72.01,36.0,43.60,
290,2022/06/12 16:15:36,72.11,35.9,43.61,
291,2022/06/12 16:25:36,72.09,35.9,43.59,
292,2022/06/12 16:35:36,72.11,35.8,43.54,
